candidate_id,entry_model,lookback_period,ema_fast_period,ema_slow_period,rsi_threshold,relative_weakness_period,atr_period,atr_entry_multiplier,max_bars_held,stop_loss_percent,take_profit_percent,symbols_passed,median_return_percent,mean_return_percent,worst_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score,status
SHORTV2-009948,Breakdown,10,10,200,50,20,10,0.5,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-009996,Breakdown,10,10,200,50,20,10,1.0,5,4.0,10.0,0,0.3809,-0.4633,-1.9958,0.7795,2.5198,1.9427,3.0,0.0,12.0633,REJECT
SHORTV2-006914,Breakdown,10,10,200,40,10,7,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-006962,Breakdown,10,10,200,40,10,7,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007010,Breakdown,10,10,200,40,10,7,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007058,Breakdown,10,10,200,40,10,10,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007106,Breakdown,10,10,200,40,10,10,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007154,Breakdown,10,10,200,40,10,10,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007202,Breakdown,10,10,200,40,10,14,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007250,Breakdown,10,10,200,40,10,14,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007298,Breakdown,10,10,200,40,10,14,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007346,Breakdown,10,10,200,40,10,20,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007394,Breakdown,10,10,200,40,10,20,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007442,Breakdown,10,10,200,40,10,20,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007490,Breakdown,10,10,200,40,20,7,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007538,Breakdown,10,10,200,40,20,7,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007586,Breakdown,10,10,200,40,20,7,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007634,Breakdown,10,10,200,40,20,10,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007682,Breakdown,10,10,200,40,20,10,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007730,Breakdown,10,10,200,40,20,10,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007778,Breakdown,10,10,200,40,20,14,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007826,Breakdown,10,10,200,40,20,14,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007874,Breakdown,10,10,200,40,20,14,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007922,Breakdown,10,10,200,40,20,20,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-007970,Breakdown,10,10,200,40,20,20,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008018,Breakdown,10,10,200,40,20,20,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008066,Breakdown,10,10,200,45,10,7,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008114,Breakdown,10,10,200,45,10,7,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008162,Breakdown,10,10,200,45,10,7,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008210,Breakdown,10,10,200,45,10,10,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008258,Breakdown,10,10,200,45,10,10,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008306,Breakdown,10,10,200,45,10,10,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008354,Breakdown,10,10,200,45,10,14,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008402,Breakdown,10,10,200,45,10,14,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008450,Breakdown,10,10,200,45,10,14,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008498,Breakdown,10,10,200,45,10,20,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008546,Breakdown,10,10,200,45,10,20,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008594,Breakdown,10,10,200,45,10,20,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008642,Breakdown,10,10,200,45,20,7,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008690,Breakdown,10,10,200,45,20,7,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008738,Breakdown,10,10,200,45,20,7,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008786,Breakdown,10,10,200,45,20,10,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008834,Breakdown,10,10,200,45,20,10,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008882,Breakdown,10,10,200,45,20,10,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008930,Breakdown,10,10,200,45,20,14,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-008978,Breakdown,10,10,200,45,20,14,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009026,Breakdown,10,10,200,45,20,14,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009074,Breakdown,10,10,200,45,20,20,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009122,Breakdown,10,10,200,45,20,20,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009170,Breakdown,10,10,200,45,20,20,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009218,Breakdown,10,10,200,50,10,7,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009266,Breakdown,10,10,200,50,10,7,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009314,Breakdown,10,10,200,50,10,7,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009362,Breakdown,10,10,200,50,10,10,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009410,Breakdown,10,10,200,50,10,10,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009458,Breakdown,10,10,200,50,10,10,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009506,Breakdown,10,10,200,50,10,14,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009554,Breakdown,10,10,200,50,10,14,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009602,Breakdown,10,10,200,50,10,14,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009650,Breakdown,10,10,200,50,10,20,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009698,Breakdown,10,10,200,50,10,20,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009746,Breakdown,10,10,200,50,10,20,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009794,Breakdown,10,10,200,50,20,7,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009842,Breakdown,10,10,200,50,20,7,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009890,Breakdown,10,10,200,50,20,7,1.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009938,Breakdown,10,10,200,50,20,10,0.5,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-009986,Breakdown,10,10,200,50,20,10,1.0,5,2.0,6.0,0,0.1914,-0.0411,-1.2242,0.2768,2.0107,1.4723,3.0,0.0,9.9523,REJECT
SHORTV2-006926,Breakdown,10,10,200,40,10,7,0.5,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-006938,Breakdown,10,10,200,40,10,7,0.5,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-006950,Breakdown,10,10,200,40,10,7,0.5,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-006974,Breakdown,10,10,200,40,10,7,1.0,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-006986,Breakdown,10,10,200,40,10,7,1.0,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-006998,Breakdown,10,10,200,40,10,7,1.0,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007022,Breakdown,10,10,200,40,10,7,1.5,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007034,Breakdown,10,10,200,40,10,7,1.5,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007046,Breakdown,10,10,200,40,10,7,1.5,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007070,Breakdown,10,10,200,40,10,10,0.5,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007082,Breakdown,10,10,200,40,10,10,0.5,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007094,Breakdown,10,10,200,40,10,10,0.5,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007118,Breakdown,10,10,200,40,10,10,1.0,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007130,Breakdown,10,10,200,40,10,10,1.0,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007142,Breakdown,10,10,200,40,10,10,1.0,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007166,Breakdown,10,10,200,40,10,10,1.5,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007178,Breakdown,10,10,200,40,10,10,1.5,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007190,Breakdown,10,10,200,40,10,10,1.5,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007214,Breakdown,10,10,200,40,10,14,0.5,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007226,Breakdown,10,10,200,40,10,14,0.5,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007238,Breakdown,10,10,200,40,10,14,0.5,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007262,Breakdown,10,10,200,40,10,14,1.0,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007274,Breakdown,10,10,200,40,10,14,1.0,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007286,Breakdown,10,10,200,40,10,14,1.0,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007310,Breakdown,10,10,200,40,10,14,1.5,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007322,Breakdown,10,10,200,40,10,14,1.5,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007334,Breakdown,10,10,200,40,10,14,1.5,30,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007358,Breakdown,10,10,200,40,10,20,0.5,10,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
SHORTV2-007370,Breakdown,10,10,200,40,10,20,0.5,20,2.0,6.0,0,0.1914,-0.0441,-1.2242,0.3527,2.0107,1.4723,3.0,0.0,9.8339,REJECT
