rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,symbols_tested,symbols_passed,median_test_return_percent,mean_test_return_percent,worst_test_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score,status
582,MM-0480,BXStyle,1.2,10,30,Trend,4.0,10.0,9,0,0.5406,1.3085,-2.0029,1.4218,3.429,1.1159,15.0,0.0,7.1623,REJECT
583,MM-0256,ADX,1.2,7,20,Trend,4.0,10.0,9,0,0.1791,0.8574,-0.7234,1.0642,2.1625,1.0675,6.0,0.0,7.1434,REJECT
584,MM-0689,EMA200+BXStyle,1.2,7,30,Balanced,3.0,8.0,9,0,0.4163,0.5358,-1.3438,1.6257,2.4166,1.2154,13.0,0.0,7.1211,REJECT
585,MM-0401,SmoothedHeikenAshi,1.0,7,30,Balanced,3.0,8.0,9,1,0.1154,0.3545,-1.1912,1.5649,2.502,1.0615,14.0,11.11,7.1004,REJECT
586,MM-0398,SmoothedHeikenAshi,1.0,7,10,Trend,4.0,10.0,9,1,0.4736,0.4589,-2.8305,1.3263,3.6522,1.0863,14.0,11.11,7.0833,REJECT
587,MM-0516,EMA200+RSI,1.0,10,30,Trend,4.0,10.0,9,3,-0.4656,0.8233,-2.1944,1.5018,3.8445,0.7986,20.0,33.33,7.0728,REJECT
588,MM-0265,ADX,1.2,14,10,Balanced,3.0,8.0,9,0,0.2462,0.4238,-2.1394,0.856,3.4508,1.2809,6.0,0.0,7.0075,REJECT
589,MM-0473,BXStyle,1.2,7,30,Balanced,3.0,8.0,9,0,0.3618,0.7197,-0.9698,1.8972,2.4853,1.2065,14.0,0.0,7.0012,REJECT
590,MM-0467,BXStyle,1.0,14,30,Balanced,3.0,8.0,9,0,0.4775,0.6471,-0.9222,1.7039,2.305,1.1158,14.0,0.0,6.9296,REJECT
591,MM-0789,EMA200+RSI+MACD,1.0,14,20,Balanced,3.0,8.0,9,0,0.1264,0.1547,-1.0733,0.8682,1.9723,1.1748,5.0,0.0,6.9162,REJECT
592,MM-0609,RSI+MACD,0.8,14,20,Balanced,3.0,8.0,9,0,0.0066,1.0972,-0.4992,1.054,1.9319,1.0188,11.0,0.0,6.8947,REJECT
593,MM-0260,ADX,1.2,10,10,Trend,4.0,10.0,9,0,0.1083,0.7951,-1.0419,0.8963,2.6912,1.1053,6.0,0.0,6.8885,REJECT
594,MM-0270,ADX,1.2,14,30,Trend,4.0,10.0,9,0,0.0872,0.6107,-1.0462,1.0053,3.0001,1.1857,6.0,0.0,6.8706,REJECT
595,MM-0611,RSI+MACD,0.8,14,30,Balanced,3.0,8.0,9,0,0.0066,1.0783,-0.4992,1.054,1.9319,1.0095,11.0,0.0,6.7918,REJECT
596,MM-0318,RelativeVolume,1.2,10,30,Trend,4.0,10.0,9,0,0.3449,1.5733,-1.0797,1.639,4.19,1.0933,15.0,0.0,6.7777,REJECT
597,MM-0199,MACD,1.2,7,10,Balanced,3.0,8.0,9,0,0.1021,0.7544,-0.8538,1.0652,2.3442,1.0922,9.0,0.0,6.7653,REJECT
598,MM-0783,EMA200+RSI+MACD,1.0,10,20,Balanced,3.0,8.0,9,0,0.28,0.0378,-1.0733,0.7921,1.9723,1.0988,5.0,0.0,6.7078,REJECT
599,MM-0422,SmoothedHeikenAshi,1.2,10,10,Trend,4.0,10.0,9,0,0.4351,0.5962,-3.1895,1.5274,4.0081,1.3991,13.0,0.0,6.7052,REJECT
600,MM-0459,BXStyle,1.0,10,20,Balanced,3.0,8.0,9,0,0.4775,0.5253,-0.636,1.5644,3.3401,1.1158,15.0,0.0,6.6532,REJECT
