fold,policy,position_percent,scenario,final_value,total_return,maximum_drawdown,return_to_drawdown,downside_deviation,trades,win_rate,profit_factor,longest_losing_streak,average_losing_trade,worst_losing_trade
4,fixed_15,0.15,base,10227.642334077585,0.02276423340775846,-0.014508986919848144,1.568974700543511,0.0011321705732234744,14,0.5714285714285714,3.8421850657432453,2,-0.008836480048927902,-0.03178457628958393
4,fixed_15,0.15,double_slippage,10206.001530076139,0.020600153007613864,-0.015349501313069669,1.3420731128296275,0.0011359974871989439,14,0.5714285714285714,3.315792857740955,2,-0.009827148729872824,-0.03275230833113952
5,fixed_10,0.1,base,10314.367275351502,0.031436727535150144,-0.006324360744535573,4.970735985026213,0.0008965733441057587,12,0.75,11.507671879107763,1,-0.009848958938177848,-0.012546758773645281
5,fixed_10,0.1,double_slippage,10301.717011953937,0.030171701195393696,-0.006421708687206373,4.698391450783677,0.0008940191658209065,12,0.75,10.169823080991234,1,-0.010838615645714334,-0.013533719028224374
5,fixed_12_5,0.125,base,10394.186974653008,0.0394186974653008,-0.007895202506016274,4.992740519988322,0.0011201580406033093,12,0.75,11.50767187910782,1,-0.009848958938177785,-0.01254675877364507
5,fixed_12_5,0.125,double_slippage,10378.264548442905,0.03782645484429059,-0.008016766385772534,4.718418003476031,0.0011169807602540963,12,0.75,10.169823080991325,1,-0.010838615645714237,-0.013533719028224266
5,fixed_15,0.15,base,10474.502472562448,0.047450247256244804,-0.009461981079634807,5.014832185447172,0.0013435210101189444,12,0.75,11.507671879107718,1,-0.009848958938177875,-0.012546758773645186
5,fixed_15,0.15,double_slippage,10455.263323442914,0.045526332344291376,-0.009607712580942396,4.738519388537518,0.0013397267686656596,12,0.75,10.169823080991321,1,-0.010838615645714242,-0.013533719028224343
6,fixed_10,0.1,base,10316.139046746192,0.03161390467461911,-0.015656579488890765,2.0192089017304817,0.0014157308930529814,11,0.7272727272727273,3.171219760813992,3,-0.04815742577861765,-0.10045000000000015
6,fixed_10,0.1,double_slippage,10304.983850484488,0.030498385048448817,-0.015844440568266505,1.924863482370685,0.0014166009979732753,11,0.7272727272727273,3.0617357201806796,3,-0.04895909284513924,-0.10089999999999996
6,fixed_12_5,0.125,base,10395.935059754995,0.03959350597549949,-0.019550573241601477,2.025183890324446,0.001768772986722355,11,0.7272727272727273,3.1712197608139943,3,-0.048157425778617674,-0.10044999999999993
6,fixed_12_5,0.125,double_slippage,10381.8978134296,0.038189781342959916,-0.019784759616529368,1.9302625901531751,0.0017698845604331229,11,0.7272727272727273,3.0617357201806747,3,-0.048959092845139295,-0.10089999999999993
