rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,train_return_percent,test_return_percent,test_drawdown_percent,test_profit_factor,test_win_rate,test_trade_count,robustness_ratio,score,status
1074,ARENA-0990,RSI+MACD,0.8,10,30,Trend,4.0,10.0,5.0816,0.8581,1.0784,1.4407,33.3333,21,0.1689,11.4638,REJECT
1075,ARENA-1257,EMA200+RSI+MACD,1.0,10,20,Trend,4.0,10.0,2.4934,1.1316,0.8152,1.7738,33.3333,15,0.4538,11.4493,REJECT
1076,ARENA-0246,MACD,0.8,7,10,Trend,4.0,10.0,6.5957,0.6622,1.2246,1.2408,36.0,25,0.1004,11.4266,REJECT
1077,ARENA-0816,EMA200+MACD,0.8,7,20,Trend,4.0,10.0,4.2939,0.5857,1.2246,1.2142,36.0,25,0.1364,11.4216,REJECT
1078,ARENA-0819,EMA200+MACD,0.8,7,30,Trend,4.0,10.0,4.2939,0.5857,1.2246,1.2142,36.0,25,0.1364,11.4216,REJECT
1079,ARENA-0324,MACD,1.2,14,30,Trend,4.0,10.0,1.7499,1.0943,1.1399,1.5369,40.0,15,0.6253,11.371,REJECT
1080,ARENA-0959,EMA200+RelativeVolume,1.2,10,20,Conservative,2.0,6.0,-0.6054,1.0913,0.8906,1.4494,38.0952,21,0.0,11.2203,REJECT
1081,ARENA-0962,EMA200+RelativeVolume,1.2,10,30,Conservative,2.0,6.0,-0.6054,1.0913,0.8906,1.4494,38.0952,21,0.0,11.2203,REJECT
1082,ARENA-0249,MACD,0.8,7,20,Trend,4.0,10.0,5.3102,0.5857,1.2246,1.2142,36.0,25,0.1103,11.204,REJECT
1083,ARENA-0252,MACD,0.8,7,30,Trend,4.0,10.0,5.3102,0.5857,1.2246,1.2142,36.0,25,0.1103,11.204,REJECT
1084,ARENA-1068,BXStyle+LinearRegression,0.8,10,20,Trend,4.0,10.0,-0.0073,1.891,0.9661,2.1955,42.8571,14,0.0,11.1727,REJECT
1085,ARENA-1071,BXStyle+LinearRegression,0.8,10,30,Trend,4.0,10.0,-0.0073,1.891,0.9661,2.1955,42.8571,14,0.0,11.1727,REJECT
1086,ARENA-0948,EMA200+RelativeVolume,1.2,7,10,Trend,4.0,10.0,-2.138,1.4433,1.4495,1.5239,33.3333,21,0.0,11.112,REJECT
1087,ARENA-0280,MACD,1.0,10,10,Balanced,3.0,8.0,3.4296,0.7662,1.1977,1.288,38.0952,21,0.2234,11.0488,REJECT
1088,ARENA-0955,EMA200+RelativeVolume,1.2,10,10,Balanced,3.0,8.0,-0.558,1.1856,0.9781,1.3905,38.0952,21,0.0,10.9151,REJECT
